Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[1]     88.8    0.00    1.59                 main [1]
                0.00    1.59       1/1           CxxTest::TestRunner::runAllTests(CxxTest::TestListener&) [4]
                0.00    0.00       1/12          CxxTest::TestTracker::tracker() [35]
                0.00    0.00       1/1           CxxTest::ErrorPrinter::ErrorPrinter(std::ostream&, char const*, char const*) [133]
                0.00    0.00       1/1           CxxTest::ErrorPrinter::~ErrorPrinter() [134]
-----------------------------------------------
                0.00    1.59       1/1           TestDescription_TestConvergenceEfficiency_Test3DSpace10Efficiency::runTest() [3]
[2]     88.8    0.00    1.59       1         TestConvergenceEfficiency::Test3DSpace10Efficiency() [2]
                0.00    1.51       1/1           AbstractConvergenceTester<CellLuoRudy1991FromCellMLBackwardEulerOpt, BidomainProblem<3u>, 3u, 2u>::Converge(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [9]
                0.03    0.05       1/18          std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [10]
                0.00    0.00       1/1           void CxxTest::doAssertEquals<unsigned int, unsigned int>(char const*, unsigned int, char const*, unsigned int, char const*, unsigned int, char const*) [146]
-----------------------------------------------
                0.00    1.59       1/1           CxxTest::RealTestDescription::run() [8]
[3]     88.8    0.00    1.59       1         TestDescription_TestConvergenceEfficiency_Test3DSpace10Efficiency::runTest() [3]
                0.00    1.59       1/1           TestConvergenceEfficiency::Test3DSpace10Efficiency() [2]
-----------------------------------------------
                0.00    1.59       1/1           main [1]
[4]     88.8    0.00    1.59       1         CxxTest::TestRunner::runAllTests(CxxTest::TestListener&) [4]
                0.00    1.59       1/1           CxxTest::TestRunner::runWorld() [7]
                0.00    0.00       2/12          CxxTest::TestTracker::tracker() [35]
                0.00    0.00       2/3           CxxTest::TestTracker::setListener(CxxTest::TestListener*) [92]
-----------------------------------------------
                0.00    1.59       1/1           CxxTest::TestRunner::runSuite(CxxTest::SuiteDescription&) [6]
[5]     88.8    0.00    1.59       1         CxxTest::TestRunner::runTest(CxxTest::TestDescription&) [5]
